Fuel Type,Year,PJ
Black Coal,2008,7384.4
Black Coal,2009,8304.6
Black Coal,2010,8055
Black Coal,2011,8516.1
Black Coal,2012,9475.8
Black Coal,2013,10577.5
Black Coal,2014,11067.1
Black Coal,2015,11001.1
Black Coal,2016,10685.8
Black Coal,2017,10760.6
Black Coal,2018,11131.3
Black Coal,2019,11061.7
Black Coal,2020,10323.6
Black Coal,2021,10173.5
Crude oil and ORF,2008,613.7
Crude oil and ORF,2009,668.4
Crude oil and ORF,2010,726
Crude oil and ORF,2011,644.7
Crude oil and ORF,2012,583.2
Crude oil and ORF,2013,548.2
Crude oil and ORF,2014,560.6
Crude oil and ORF,2015,514
Crude oil and ORF,2016,473.7
Crude oil and ORF,2017,482.3
Crude oil and ORF,2018,545.4
Crude oil and ORF,2019,625.6
Crude oil and ORF,2020,593
Crude oil and ORF,2021,622.9
Natural gas,2008,838.3
Natural gas,2009,986.9
Natural gas,2010,1102
Natural gas,2011,1041.4
Natural gas,2012,1298.1
Natural gas,2013,1283.9
Natural gas,2014,1382.5
Natural gas,2015,2016.5
Natural gas,2016,2855.2
Natural gas,2017,3376.4
Natural gas,2018,4095.6
Natural gas,2019,4413.5
Natural gas,2020,4314.4
Natural gas,2021,4636.8
