Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydro,Wind,Solar,Bioenergy
Taiwan,TWN,2023,5101.727,4679.962,138.77701,827.22797,173.05324,192.6994,567.2301,84.854614
Australia,AUS,2023,4823.157,1618.0573,205.37752,0.0,596.08655,1253.0677,1774.2653,127.08444
China,CHN,2023,4027.2327,215.75801,51.568687,304.92303,873.39215,621.3704,409.73682,131.20135
New Caledonia,NCL,2022,3931.5903,0.0,3931.5903,0.0,758.72797,206.92581,620.7774,0.0
South Korea,KOR,2023,3913.5596,3267.994,132.6663,3485.4358,71.45056,65.85038,567.16296,356.48032
Kazakhstan,KAZ,2023,3871.6477,1191.9431,3.570219,0.0,447.2975,200.4423,93.335724,0.0
Kosovo,OWID_KOS,2023,3372.207,0.0,12.022128,0.0,324.59744,102.18809,12.022128,0.0
Serbia,SRB,2023,3292.7346,222.40646,0.0,0.0,1804.4297,131.48558,1.3987827,32.172005
Bosnia and Herzegovina,BIH,2023,3111.3208,0.0,9.343306,0.0,1983.8953,80.97531,65.40314,12.457741
South Africa,ZAF,2023,3066.9792,0.0,88.058334,135.06693,32.442543,192.33794,257.7196,7.117497
